"","Time","Name","Instructor","Location"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","RICHIE","HIIT REPUBLIC KINGSTON"
"Saturday, 15 February 2025","08:00 - 08:55","BODYATTACK","LAUREN","QUEANBEYAN"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","ISABEL VERRI","HIIT REPUBLIC QUEANBEYAN"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","RACHEL","HIIT REPUBLIC BRADDON"
"Saturday, 15 February 2025","08:00 - 09:00","PILATES","NICOLE","REDCLIFFE"
"Saturday, 15 February 2025","08:00 - 08:45","SPIN","CHRIS","TENERIFFE"
"Saturday, 15 February 2025","08:00 - 08:45","LIME LIFT","MICHELLE","DEAGON"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","MARY","HIIT REPUBLIC WOLLONGONG"
"Saturday, 15 February 2025","08:00 - 08:45","LIME CIRCUIT","EMMA","MALVERN"
"Saturday, 15 February 2025","08:00 - 09:00","HOT YOGA","VIEN","BURWOOD"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","GRACE","HIIT REPUBLIC GUNGAHLIN"
"Saturday, 15 February 2025","08:00 - 08:45","BODYPUMP","NIKI","CLEVELAND"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","HIIT REPUBLIC","HIIT REPUBLIC WESTON"
"Saturday, 15 February 2025","08:00 - 09:00","SHRED","DIEGO","HIIT REPUBLIC CORRIMAL"
"Saturday, 15 February 2025","08:00 - 08:45","REFORMER JUMP","KELSIE","UPWEY"
"Saturday, 15 February 2025","08:00 - 08:45","VINYASA YOGA","JAMIE LEE","UPWEY"
"Saturday, 15 February 2025","08:00 - 08:45","REFORMER - INTERMEDIATE","ALEISHA","OAKLEIGH"
"Saturday, 15 February 2025","08:00 - 08:45","REFORMER PILATES","ETAIZE","PARKDALE"
"Saturday, 15 February 2025","08:00 - 08:45","REFORMER PILATES","NICKY/ASH","SCORESBY"
"Saturday, 15 February 2025","08:00 - 08:45","LIME LIFT","ASJAD","GREGORY HILLS (LIVE WELL)"
"Saturday, 15 February 2025","08:00 - 08:45","LIME LIFT","FELICITY","NOOSAVILLE"
"Saturday, 15 February 2025","08:00 - 08:45","LIME CONDITION","VICTOR F","ST PETERS"
"Saturday, 15 February 2025","08:00 - 08:45","LIME LIFT","BEN","OAKLEIGH"
"Saturday, 15 February 2025","08:00 - 09:00","BODYCOMBAT","GREG","SUNNYBANK HILLS (HEALTHWORKS)"
"Saturday, 15 February 2025","08:00 - 09:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Saturday, 15 February 2025","08:00 - 08:45","VIRTUAL REFORMER","VIRTUAL INSTRUCTOR","BROADBEACH"
